# r/A   V_direct   abserr    NEval   Exit_statues 
        3.15000      2792.4145              2.7905         2971605   0
        3.22857      2009.5733              2.0078         3063333   0
        3.30714      1414.3959              1.4142         3137589   0
        3.38571       965.3705              0.9651         3282825   0
        3.46429       629.5649              0.6291         3431883   0
        3.54286       381.0882              0.3809         3844113   0
        3.62143       199.5738              0.1994         4580667   0
        3.70000        69.1302              0.0691         6024291   0
        3.77857       -22.6520              0.0227         8319675   0
        3.85714       -85.3632              0.0854         4271631   0
        3.93571      -126.4254              0.1263         3337971   0
        4.01429      -151.5146              0.1515         2780505   0
        4.09286      -164.9817              0.1649         2437071   0
        4.17143      -170.1283              0.1701         1960413   0
        4.25000      -169.4465              0.1694         1628445   0
        4.32857      -164.7987              0.1647         1375647   0
        4.40714      -157.5585              0.1574         1294293   0
        4.48571      -148.7468              0.1487         1140321   0
        4.56429      -139.0941              0.1390         1019109   0
        4.64286      -129.1280              0.1291          908817   0
        4.72143      -119.2053              0.1191          957957   0
        4.80000      -109.5796              0.1095          948129   0
        4.87857      -100.4049              0.1003          920283   0
        4.95714       -91.7755              0.0915          759213   0
        5.03571       -83.7409              0.0837          653835   0
        5.11429       -76.3174              0.0762          689871   0
        5.19286       -69.5022              0.0694          624351   0
        5.27143       -63.2716              0.0632          609609   0
        5.35000       -57.6034              0.0576          566475   0
        5.42857       -52.4405              0.0524          617253   0
        5.50714       -47.7664              0.0477          628173   0
        5.58571       -43.5345              0.0435          622167   0
        5.66429       -39.7073              0.0397          643461   0
        5.74286       -36.2477              0.0362          623259   0
        5.82143       -33.1209              0.0331          604695   0
        5.90000       -30.2944              0.0302          572481   0
        5.97857       -27.7392              0.0277          583947   0
        6.05714       -25.4282              0.0254          593229   0
        6.13571       -23.3366              0.0233          609063   0
        6.21429       -21.4420              0.0214          598689   0
        6.29286       -19.7245              0.0197          616707   0
        6.37143       -18.1658              0.0182          641823   0
        6.45000       -16.7500              0.0167          656019   0
        6.52857       -15.4624              0.0155          689871   0
        6.60714       -14.2900              0.0143          689871   0
        6.68571       -13.2215              0.0132          704613   0
        6.76429       -12.2463              0.0122          713895   0
        6.84286       -11.3554              0.0114          715533   0
        6.92143       -10.5404              0.0105          731367   0
        7.00000        -9.7939              0.0098          723177   0
