 Autogenerated Input
50.25 9 19.50000000 1.1 
 	 R 	 Energy 
   6.28333940 -1053.60137171 
   6.42506886 -1053.60167525 
   6.56679832 -1053.60188866 
   6.70852778 -1053.60203589 
   6.85025724 -1053.60213477 
   6.99198670 -1053.60219850 
   7.13371616 -1053.60223670 
   7.27544562 -1053.60225640 
   7.41717508 -1053.60226291 
   7.55890454 -1053.60225995 
   7.70063400 -1053.60225060 
   7.84236346 -1053.60223686 
   7.98409292 -1053.60222052 
   8.12582238 -1053.60220277 
   8.26755184 -1053.60218455 
   8.40928130 -1053.60216653 
   8.55101076 -1053.60214917 
   8.69274022 -1053.60213273 
   8.83446968 -1053.60211739 
   8.97619914 -1053.60210320 
   9.11792860 -1053.60209012 
   9.25965806 -1053.60207812 
   9.40138752 -1053.60206714 
   9.54311698 -1053.60205709 
   9.68484644 -1053.60204787 
   9.82657590 -1053.60203943 
   9.96830536 -1053.60203170 
   10.11003482 -1053.60202460 
   10.25176428 -1053.60201810 
   10.39349374 -1053.60201216 
   10.53522320 -1053.60200671 
   10.67695266 -1053.60200174 
   10.81868212 -1053.60199720 
   10.96041158 -1053.60199306 
   11.10214104 -1053.60198929 
   11.24387050 -1053.60198586 
   11.38559996 -1053.60198275 
   11.52732942 -1053.60197992 
   11.66905888 -1053.60197735 
   11.81078834 -1053.60197501 
   11.95251780 -1053.60197290 
   12.09424726 -1053.60197097 
   12.23597672 -1053.60196921 
   12.37770618 -1053.60196761 
   12.51943564 -1053.60196615 
   12.66116510 -1053.60196482 
   12.80289456 -1053.60196360 
   12.94462402 -1053.60196248 
   13.08635348 -1053.60196145 
   13.22808294 -1053.60196050 

